Date,Voyage ID,Type,From,To,Amount,Notes
07-03-2026,1716,Profit cut,SilencedAnt,Codswallop,3.759ƒ,
08-03-2026,1722,Profit cut,metaliebe,Codswallop,3.674ƒ,
08-03-2026,1723,Profit cut,TheManLikeMan,Codswallop,2.906ƒ,
08-03-2026,1724,Profit cut,TheManLikeMan,Codswallop,2.555ƒ,
08-03-2026,1725,Profit cut,metaliebe,Codswallop,2.696ƒ,
08-03-2026,1726,Profit cut,SilencedAnt,Codswallop,1.710ƒ,
08-03-2026,1726,Reimbursement,Codswallop,SilencedAnt,300ƒ,truck fell of the damn map
08-03-2026,1727,Profit cut,SilencedAnt,Codswallop,2.968ƒ,
09-03-2026,1728,Profit cut,SilencedAnt,Codswallop,0ƒ,
09-03-2026,1728,Reimbursement,Codswallop,SilencedAnt,300ƒ,boat exploded and sunk
09-03-2026,1728,Reimbursement,Codswallop,ricardobcooper,300ƒ,boat exploded and sunk
09-03-2026,1729,Profit cut,metaliebe,Codswallop,2.641ƒ,
09-03-2026,1730,Profit cut,SilencedAnt,Codswallop,0ƒ,
09-03-2026,1730,Reimbursement,Codswallop,SilencedAnt,300ƒ,Piece of shit yakuzas and corny romobs bombed our boat
09-03-2026,1730,Reimbursement,Codswallop,ProbKota,300ƒ,Piece of shit yakuzas and corny romobs bombed our boat
10-03-2026,1731,Profit cut,SilencedAnt,Codswallop,0ƒ,
10-03-2026,1731,Reimbursement,Codswallop,SilencedAnt,300ƒ,piracy
10-03-2026,1731,Reimbursement,Codswallop,ProbKota,300ƒ,piracy
10-03-2026,1732,Profit cut,SilencedAnt,Codswallop,0ƒ,
10-03-2026,1732,Reimbursement,Codswallop,yssergamer12344,300ƒ,lost to tawayo
10-03-2026,1732,Reimbursement,Codswallop,SilencedAnt,300ƒ,lost to tawayo
11-03-2026,1733,Profit cut,metaliebe,Codswallop,4.523ƒ,
11-03-2026,1737,Profit cut,metaliebe,Codswallop,0ƒ,
11-03-2026,1737,Reimbursement,Codswallop,metaliebe,300ƒ,Ship deleted past oil rig due to disconnection.
11-03-2026,1737,Reimbursement,Codswallop,ProbKota,300ƒ,Ship deleted past oil rig due to disconnection.
11-03-2026,1735,Profit cut,SilencedAnt,Codswallop,3.836ƒ,
11-03-2026,1736,Profit cut,TheManLikeMan,Codswallop,3.046ƒ,
12-03-2026,1738,Profit cut,metaliebe,Codswallop,4.558ƒ,
